价格,网址,商品名称,裸机重量,厚度,屏幕尺寸,待机时长,商品产地,屏幕色域,系统,显存,内存,硬盘,显卡
4999.0,//item.jd.com/100005171461.html,联想小新Pro,1-1.5KG,15.1mm—18.0mm,13-13.9英寸,＞12小时,中国大陆,100%sRGB,Windows 10,共享系统内存（集成）,16G,512G SSD,其他
5499.0,//item.jd.com/100011386554.html,联想小新Air14,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,7-9小时,中国大陆,100%sRGB,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
4199.0,//item.jd.com/100010816812.html,华为荣耀MagicBook,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,9小时以上,中国大陆,none,Windows 10,共享系统内存（集成）,16G,512G SSD,集成显卡
7299.0,//item.jd.com/100006460635.html,华硕天选,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,45%NTSC,windows 10 不带Office,6G,8G,512G SSD,RTX2060
4499.0,//item.jd.com/100013023568.html,联想小新,1.5-2kg,15.1mm—18.0mm,15-15.9英寸,＞12小时,中国大陆,100%sRGB,Windows 10,none,16G,512G SSD,集成显卡
5699.0,//item.jd.com/100012885246.html,联想拯救者,2-2.5kg,25.0mm以上,15.6英寸,7-9小时,中国大陆,100%sRGB,windows 10 Office,4G,16G,512G SSD,GTX1650
4299.0,//item.jd.com/100006546527.html,戴尔灵越5000,1.5-2kg,15.1mm—18.0mm,14-14.9英寸,5-7小时,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
4299.0,//item.jd.com/100010879626.html,华为MateBook D,1-1.5KG,15.1mm—18.0mm,none,none,中国大陆,none,其他,none,16G,512G SSD,集成显卡
6099.0,//item.jd.com/100012885264.html,联想拯救者,2-2.5kg,25.0mm以上,15.6英寸,7-9小时,中国大陆,100%sRGB,windows 10 Office,4G,16G,512G SSD,GTX1650
5599.0,//item.jd.com/100011773090.html,联想小新,1.5-2kg,15.1mm—18.0mm,15-15.9英寸,＞12小时,中国大陆,100%sRGB,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
6299.0,//item.jd.com/100006487373.html,联想小新Pro13,1-1.5KG,15.1mm—18.0mm,13-13.9英寸,＞12小时,中国大陆,100%sRGB,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
6399.0,//item.jd.com/100012950510.html,华为MateBook 14,1.5-2kg,15.1mm—18.0mm,14-14.9英寸,＞12小时,中国大陆,none,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
4299.0,//item.jd.com/100012583158.html,惠普战66 Pro A 14 G3,1.5-2kg,15.1mm—18.0mm,14-14.9英寸,9小时以上,中国大陆,none,其他,共享系统内存（集成）,8G,512G SSD,集成显卡
9499.0,//item.jd.com/100013054330.html,惠普暗影精灵RTX,2-2.5kg,20.0mm—25.0mm,15.6英寸,5-7小时,中国大陆,72%NTSC,windows 10 Office,6G,16G,none,RTX2060
4599.0,//item.jd.com/100004563443.html,华为荣耀MagicBook,1.5-2kg,15.1mm—18.0mm,16英寸及以上,none,中国大陆,none,Windows 10,共享系统内存（集成）,16G,512G SSD,集成显卡
5999.0,//item.jd.com/100011177202.html,华为MateBook 13,1-1.5KG,15.0mm及以下,13-13.9英寸,＞12小时,中国大陆,none,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
6399.0,//item.jd.com/100012950506.html,华为MateBook 14,1.5-2kg,15.1mm—18.0mm,14-14.9英寸,＞12小时,中国大陆,none,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
5999.0,//item.jd.com/100013171828.html,华为荣耀MagicBook Pro,none,15.1mm—18.0mm,16英寸及以上,9小时以上,中国大陆,100%sRGB,其他,2GB,16G,512G SSD,入门级游戏独立显卡
4499.0,//item.jd.com/100007161973.html,华硕Vivobook 系列,1.5-2kg,15.1mm—18.0mm,15-15.9英寸,5-7小时,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
7699.0,//item.jd.com/100006288375.html,联想拯救者,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,72%NTSC,windows 10 Office,6G,16G,none,GTX1660Ti
4699.0,//item.jd.com/100006893703.html,惠普战66 Pro A 14 G3,1.5-2kg,15.1mm—18.0mm,none,9小时以上,中国大陆,none,Windows 10,共享系统内存（集成）,8G,512G SSD,集成显卡
3599.0,//item.jd.com/100012445728.html,华为荣耀 MagicBook 14,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,9小时以上,中国大陆,none,Windows 10,none,8G,256G SSD,集成显卡
7399.0,//item.jd.com/100012950554.html,华为MateBook 14,1.5-2kg,15.1mm—18.0mm,14-14.9英寸,＞12小时,中国大陆,none,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
7399.0,//item.jd.com/100007078171.html,华为MateBook 14,1.5-2kg,15.1mm—18.0mm,14-14.9英寸,＞12小时,中国大陆,none,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
8199.0,//item.jd.com/100006690593.html,机械革命深海泰坦X3,2-2.5kg,25.0mm以上,17.3英寸,小于5小时,中国大陆,72%NTSC,其他,6G,16G,512G SSD,RTX2060
6499.0,//item.jd.com/100007045421.html,联想拯救者,2-2.5kg,25.0mm以上,15.6英寸,5-7小时,中国大陆,100%sRGB,windows 10 Office,4G,16G,512G SSD,GTX1650
4699.0,//item.jd.com/100011045982.html,华为MateBook 13,1-1.5KG,15.0mm及以下,13-13.9英寸,none,中国大陆,none,Windows 10,none,16G,512G SSD,AMD R系列
5599.0,//item.jd.com/100007539330.html,戴尔灵越 fit,1-1.5KG,15.1mm—18.0mm,none,none,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
4499.0,//item.jd.com/100004508927.html,小米小米笔记本,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,7-9小时,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
4099.0,//item.jd.com/100012516428.html,惠普ProBook 455,2-2.5kg,18.1mm—20.0mm,none,9小时以上,中国大陆,none,Windows 10,共享系统内存（集成）,8G,512G SSD,集成显卡
3899.0,//item.jd.com/100012039000.html,华硕FL8700,1.5-2kg,18.1mm—20.0mm,15-15.9英寸,5-7小时,中国大陆,none,Windows 10,none,8G,512G SSD,集成显卡
6299.0,//item.jd.com/100012177990.html,机械革命机械革命,1.5-2kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,45%NTSC,其他,4G,16G,512G SSD,GTX1650Ti
6499.0,//item.jd.com/100012885240.html,联想拯救者,2-2.5kg,25.0mm以上,15.6英寸,7-9小时,中国大陆,100%sRGB,windows 10 Office,4G,16G,512G SSD,GTX1650Ti
7699.0,//item.jd.com/100007045417.html,联想拯救者,2-2.5kg,25.0mm以上,15.6英寸,5-7小时,中国大陆,100%sRGB,windows 10 Office,4G,16G,512G SSD,GTX1650Ti
4099.0,//item.jd.com/100006893701.html,惠普战66 Pro A 14 G3,1.5-2kg,15.1mm—18.0mm,none,9小时以上,中国大陆,none,Windows 10,共享系统内存（集成）,8G,512G SSD,集成显卡
4299.0,//item.jd.com/100010879608.html,华为MateBook D,1-1.5KG,15.1mm—18.0mm,none,none,中国大陆,none,Windows 10,none,16G,512G SSD,集成显卡
4199.0,//item.jd.com/100006008837.html,华为荣耀MagicBook,1.5-2kg,15.1mm—18.0mm,15-15.9英寸,9小时以上,中国大陆,none,Windows 10,共享系统内存（集成）,16G,512G SSD,集成显卡
4299.0,//item.jd.com/100006461093.html,宏碁宏碁笔记本,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,none,中国大陆,none,Windows 10,none,16G,512G SSD,集成显卡
9999.0,//item.jd.com/100006589421.html,AppleMacBook Air,none,none,none,none,中国大陆,none,MAC,none,8G,512G SSD,none
9999.0,//item.jd.com/100007136953.html,AppleMacBook Pro,none,15.1mm—18.0mm,13-13.9英寸,none,中国大陆,none,MAC,none,8G,256G SSD,其他
6799.0,//item.jd.com/100007539322.html,戴尔灵越 fit,1-1.5KG,15.1mm—18.0mm,none,none,中国大陆,none,Windows 10,2GB,8G,none,入门级游戏独立显卡
7299.0,//item.jd.com/100005603834.html,惠普暗影精灵GTX,2-2.5kg,20.0mm—25.0mm,15.6英寸,5-7小时,中国大陆,72%NTSC,windows 10 Office,6G,8G,512G SSD,GTX1660Ti
6299.0,//item.jd.com/100012082340.html,联想小新Pro13,1-1.5KG,15.1mm—18.0mm,13-13.9英寸,＞12小时,中国大陆,100%sRGB,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
6999.0,//item.jd.com/100011176576.html,华为MateBook 13,1-1.5KG,15.0mm及以下,13-13.9英寸,＞12小时,中国大陆,none,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
5499.0,//item.jd.com/100006567337.html,华为MateBook D,1.5-2kg,none,none,none,中国大陆,none,Windows 10,none,16G,512G SSD,入门级游戏独立显卡
7199.0,//item.jd.com/100013068394.html,戴尔G5,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,none,windows 10 Office,4G,8G,512G SSD,GTX1650Ti
3899.0,//item.jd.com/100006040247.html,联想扬天,1-1.5KG,15.1mm—18.0mm,14-14.9英寸,7-9小时,中国大陆,none,Windows 10,共享系统内存（集成）,12G,512G SSD,集成显卡
18999.0,//item.jd.com/100005638677.html,AppleMacBook Pro 16,1.5-2kg,15.1mm—18.0mm,none,7-9小时,中国大陆,none,MAC,none,none,none,none
9999.0,//item.jd.com/100005653633.html,ThinkPadX1 Carbon,1-1.5KG,15.0mm及以下,14-14.9英寸,9小时以上,中国大陆,none,Windows 10,none,8G,512G SSD,集成显卡
12999.0,//item.jd.com/100012038784.html,华为MateBook X Pro,1-1.5KG,none,none,＞12小时,中国大陆,none,Windows 10,2GB,16G,none,入门级游戏独立显卡
8299.0,//item.jd.com/45913080274.html,联想（Lenovo）拯救者Y7000,2.5kg以上,25.0mm以上,15.6英寸,7-9小时,中国大陆,none,windows 10 Office,6G,16G,512G SSD,其他
4999.0,//item.jd.com/100005729171.html,ThinkPadT,none,15.1mm—18.0mm,14-14.9英寸,none,中国大陆,none,Windows 10,none,8G,512G SSD,其他
5199.0,//item.jd.com/100005217597.html,惠普战66 Pro 14 G3,1.5-2kg,15.1mm—18.0mm,none,none,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
5699.0,//item.jd.com/100007818806.html,华为荣耀MagicBook,1.5-2kg,15.1mm—18.0mm,16英寸及以上,＞12小时,中国大陆,none,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
6999.0,//item.jd.com/100011719540.html,华硕天选,2-2.5kg,20.0mm—25.0mm,15.6英寸,小于5小时,中国大陆,45%NTSC,windows 10 不带Office,6G,8G,512G SSD,GTX1660Ti
5899.0,//item.jd.com/100011177234.html,华为MateBook 14,1.5-2kg,15.1mm—18.0mm,14-14.9英寸,＞12小时,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
4299.0,//item.jd.com/100004364088.html,小米Ruby,2-2.5kg,18.1mm—20.0mm,none,5-7小时,中国大陆,none,Windows 10,2GB,8G,512G SSD,入门级游戏独立显卡
14499.0,//item.jd.com/100007136959.html,AppleMacBook Pro,none,15.1mm—18.0mm,13-13.9英寸,none,中国大陆,none,MAC,none,16G,512G SSD,其他
8999.0,//item.jd.com/100003396847.html,惠普暗影精灵RTX,2-2.5kg,20.0mm—25.0mm,15.6英寸,5-7小时,中国大陆,72%NTSC,windows 10 Office,6G,8G,512G SSD,RTX2060
7299.0,//item.jd.com/100012062390.html,联想小新Pro13,1-1.5KG,15.1mm—18.0mm,13-13.9英寸,＞12小时,中国大陆,100%sRGB,Windows 10,2GB,16G,512G SSD,入门级游戏独立显卡
